timestamp,state,action,result,reward
2025-10-31 19:38:20,port_busy,clear_port,True,1
2025-10-31 19:43:01,config_error,rollback_config,True,1
2025-10-31 19:43:01,container_crash,restart_service,True,1
2025-10-31 19:43:02,config_error,rollback_config,True,1
2025-10-31 19:43:02,network_issue,check_network,True,1
2025-10-31 19:43:03,api_down,restart_service,True,1
2025-10-31 19:43:03,container_crash,restart_service,True,1
2025-10-31 19:43:04,network_issue,check_network,True,1
2025-10-31 19:43:04,port_busy,clear_port,True,1
2025-10-31 19:43:05,config_error,rollback_config,True,1
2025-10-31 19:43:05,config_error,rollback_config,True,1
2025-10-31 19:43:06,network_issue,check_network,True,1
2025-10-31 19:43:06,config_error,rollback_config,True,1
2025-10-31 19:43:07,config_error,rollback_config,True,1
2025-10-31 19:43:07,network_issue,check_network,True,1
2025-10-31 19:43:08,api_down,restart_service,True,1
2025-10-31 19:43:08,port_busy,clear_port,True,1
2025-10-31 19:43:09,port_busy,clear_port,True,1
2025-10-31 19:43:09,port_busy,clear_port,True,1
2025-10-31 19:43:10,port_busy,clear_port,True,1
2025-10-31 19:43:10,api_down,restart_service,True,1
2025-10-31 19:43:11,container_crash,restart_service,True,1
2025-10-31 19:43:11,network_issue,restart_service,True,1
2025-10-31 19:43:12,api_down,restart_service,True,1
2025-10-31 19:43:12,api_down,restart_service,True,1
2025-10-31 19:43:13,config_error,rollback_config,True,1
2025-10-31 19:43:13,container_crash,restart_service,True,1
2025-10-31 19:43:14,port_busy,clear_port,True,1
2025-10-31 19:43:14,api_down,restart_service,True,1
2025-10-31 19:43:15,network_issue,check_network,True,1
2025-10-31 19:43:15,port_busy,clear_port,True,1
2025-10-31 19:57:27,port_busy,clear_port,True,1
2025-10-31 20:02:20,port_busy,clear_port,True,1
2025-10-31 20:03:29,port_busy,clear_port,True,1
2025-10-31 20:08:56,port_busy,clear_port,True,1
2025-10-31 20:26:02,port_busy,restart_service,True,1
2025-10-31 21:02:37,port_busy,clear_port,True,1
